product_id,customer_id,product_category,customer_segment,sales,discount,date
45,772,A,n,,,01-01-2020
48,532,B,X,899,0.00997495,02-01-2020
65,911,B,X,156,0.016296771,03-01-2020
68,180,B,Y,695,0.053541011,04-01-2020
68,375,B,Y,948,0.259404215,05-01-2020
10,858,C,Y,716,0.275096519,06-01-2020
84,387,B,Z,884,0.031274486,07-01-2020
22,75,B,Y,523,0.064070985,08-01-2020
37,567,C,Y,472,0.236569409,09-01-2020
88,392,C,Y,595,0.005871658,10-01-2020
71,709,B,X,351,0.135078782,11-01-2020
89,135,B,Z,871,0.242249594,12-01-2020
89,69,D,Z,584,0.274890092,13-01-2020
13,553,D,Z,125,0.182389497,14-01-2020
59,97,A,X,314,0.153912047,15-01-2020
66,153,D,X,897,0.217455914,16-01-2020
40,912,C,X,549,0.020816672,17-01-2020
88,51,C,X,898,0.214496523,18-01-2020
47,919,C,Y,698,0.117685375,19-01-2020
89,868,C,Y,134,0.210531851,20-01-2020
82,336,C,X,844,0.120083181,21-01-2020
38,983,A,Y,975,0.126583724,22-01-2020
26,495,A,Z,593,0.151671788,23-01-2020
78,715,B,Y,880,0.066760347,24-01-2020
73,179,D,Y,700,0.138455347,25-01-2020
10,165,A,Y,102,0.211419958,26-01-2020
21,147,D,Y,783,0.191414856,27-01-2020
81,623,A,Z,574,0.212650262,28-01-2020
70,694,C,Z,640,0.201215787,29-01-2020
80,385,A,Y,802,0.297678586,30-01-2020
48,326,B,Y,328,0.141635421,31-01-2020
65,894,D,X,528,0.212415853,01-02-2020
83,581,B,Y,238,0.133930983,02-02-2020
89,169,D,Y,807,0.284536175,03-02-2020
50,173,B,X,255,0.169185584,04-02-2020
30,13,C,X,306,0.19252395,05-02-2020
20,6,B,X,178,0.281417207,06-02-2020
20,522,B,Y,903,0.066271429,07-02-2020
15,797,A,Z,271,0.114649533,08-02-2020
40,770,C,X,132,0.066472147,09-02-2020
33,124,B,Z,185,0.03794184,10-02-2020
66,479,B,X,376,0.049817233,11-02-2020
10,280,D,Y,325,0.087297368,12-02-2020
